matricula,data_inicio_execucao,equipamento,trabalho_real
70,18/8/2023,10000051,"0,6"
70,18/8/2023,10000051,"0,6"
70,19/8/2023,10000051,"0,6"
70,19/8/2023,10000051,"0,6"
70,19/8/2023,10000051,"0,6"
70,25/10/2023,10000051,1
70,25/10/2023,10000051,1
70,21/3/2023,10000051,"0,6"
70,13/3/2023,10000051,"0,7"
70,2/1/2024,10000051,1
70,2/1/2024,10000051,1
70,2/1/2024,10000051,1
70,2/1/2024,10000051,
70,24/10/2023,10000051,1
70,25/10/2023,10000051,1
70,2/1/2024,10000051,1
70,2/1/2024,10000051,1
70,26/12/2023,10000051,1
70,26/12/2023,10000051,
70,15/12/2023,10000051,
70,15/12/2023,10000051,
70,15/12/2023,10000051,
70,15/12/2023,10000051,
70,15/12/2023,10000051,1
70,27/11/2023,10000051,1
70,27/11/2023,10000051,1
70,27/11/2023,10000051,1
70,13/12/2023,10000051,1
70,13/12/2023,10000051,
70,13/12/2023,10000051,1
70,13/12/2023,10000051,
70,13/12/2023,10000051,
70,13/12/2023,10000051,
70,13/12/2023,10000051,
70,13/12/2023,10000051,
70,13/12/2023,10000051,
70,13/12/2023,10000051,
70,13/12/2023,10000051,
70,13/12/2023,10000051,
70,13/12/2023,10000051,
70,13/12/2023,10000051,
70,14/12/2023,10000051,1
70,14/12/2023,10000051,
70,14/12/2023,10000051,1
70,14/12/2023,10000051,1
70,14/12/2023,10000051,1
70,14/12/2023,10000051,
70,14/12/2023,10000051,1
70,14/12/2023,10000051,1
70,14/12/2023,10000051,
70,14/12/2023,10000051,
70,14/12/2023,10000051,1
70,14/12/2023,10000051,1
70,14/12/2023,10000051,1
70,14/12/2023,10000051,
70,14/12/2023,10000051,
70,15/12/2023,10000051,1
70,15/12/2023,10000051,1
70,15/12/2023,10000051,
70,15/12/2023,10000051,
70,15/12/2023,10000051,
70,15/12/2023,10000051,
70,15/12/2023,10000051,
70,15/12/2023,10000051,
70,15/12/2023,10000051,
70,15/12/2023,10000051,
70,15/12/2023,10000051,1
70,15/12/2023,10000051,
70,15/12/2023,10000051,
70,15/12/2023,10000051,
70,15/12/2023,10000051,
70,15/12/2023,10000051,
70,15/12/2023,10000051,
70,13/12/2023,10000051,1
70,22/12/2023,10000051,1
70,22/12/2023,10000051,1
70,26/12/2023,10000051,1
70,26/12/2023,10000051,1
70,26/12/2023,10000051,1
70,26/12/2023,10000051,1
70,26/12/2023,10000051,
70,26/12/2023,10000051,1
70,2/1/2024,10000051,1
70,2/1/2024,10000051,1
70,2/1/2024,10000051,1
70,2/1/2024,10000051,1
70,2/1/2024,10000051,
70,2/1/2024,10000051,1
70,15/12/2023,10000051,
70,15/12/2023,10000051,1
70,15/12/2023,10000051,1
70,15/12/2023,10000051,
70,15/12/2023,10000051,
70,15/12/2023,10000051,
70,15/12/2023,10000051,
70,15/12/2023,10000051,
70,15/12/2023,10000051,
70,15/12/2023,10000051,
70,15/12/2023,10000051,
70,15/12/2023,10000051,
70,15/12/2023,10000051,
70,15/12/2023,10000051,
70,31/1/2024,10000051,1
70,1/2/2024,10000051,1
70,2/1/2024,10000051,1
70,3/1/2024,10000051,1
70,3/1/2024,10000051,1
70,2/2/2024,10000051,1
70,2/2/2024,10000051,1
70,2/2/2024,10000051,
80,16/1/2024,10000008,1
80,16/1/2024,10000008,1
80,16/1/2024,10000008,1
80,16/1/2024,10000008,1
80,25/7/2023,10000017,"0,6"
80,25/7/2023,10000017,"0,6"
80,13/7/2023,10000017,"0,6"
80,13/7/2023,10000017,"0,6"
80,13/7/2023,10000017,"0,6"
80,25/7/2023,10000017,"0,6"
80,25/7/2023,10000018,"0,6"
80,25/7/2023,10000018,"0,6"
80,25/7/2023,10000018,"0,6"
80,25/7/2023,10000018,"0,6"
80,13/7/2023,10000018,"0,6"
80,25/7/2023,10000018,"0,6"
90,20/11/2023,1566,1
90,22/9/2023,1573,"59,4"
90,4/1/2024,2228,1
90,4/1/2024,2228,1
90,4/1/2024,2228,1
90,2/1/2024,2228,1
90,19/10/2023,10000008,
90,28/8/2023,10000008,"1,2"
90,20/10/2023,10000008,1
90,19/10/2023,10000008,
90,28/9/2023,10000008,1
90,19/10/2023,10000008,1
90,28/9/2023,10000008,1
90,17/11/2023,10000008,1
90,14/12/2023,10000013,1
90,14/12/2023,10000013,
90,20/1/2024,10000013,
90,14/12/2023,10000013,
90,14/12/2023,10000013,
90,20/1/2024,10000013,
90,20/1/2024,10000013,
90,14/12/2023,10000013,
90,14/12/2023,10000013,
90,14/12/2023,10000013,
90,20/1/2024,10000013,
90,14/12/2023,10000013,
90,20/1/2024,10000013,
90,20/1/2024,10000013,
90,20/1/2024,10000013,
90,20/1/2024,10000013,
90,20/1/2024,10000013,1
90,20/1/2024,10000013,
90,20/1/2024,10000013,
90,20/1/2024,10000013,
90,4/1/2024,10000051,1
90,20/11/2023,10000051,1
90,4/1/2024,10000051,1
90,14/12/2023,10000128,1
90,14/12/2023,10000128,1
90,14/12/2023,10000128,1
90,14/12/2023,10000128,1
90,14/12/2023,10000128,
90,14/12/2023,10000128,1
90,14/12/2023,10000128,1
90,14/12/2023,10000128,
90,14/12/2023,10000128,1
90,14/12/2023,10000128,
90,15/12/2023,10000128,1
90,14/12/2023,10000128,1
90,14/12/2023,10000128,1
90,14/12/2023,10000128,
90,14/12/2023,10000128,1
90,2/1/2024,10000128,1
90,14/12/2023,10000128,1
90,14/12/2023,10000128,
90,14/12/2023,10000168,
90,28/9/2023,10000168,1
90,3/1/2024,10000168,1
90,3/1/2024,10000168,1
90,14/12/2023,10000168,1
90,14/12/2023,10000168,
90,14/12/2023,10000168,
90,14/12/2023,10000168,
90,14/12/2023,10000168,
90,14/12/2023,10000168,
90,14/12/2023,10000168,1
90,14/12/2023,10000168,1
90,14/12/2023,10000168,
